year,month,city,state,crime_type,crime_counts,latitude,longitude
2015,1,Mumbai,Maharashtra,murder,13,19.076,72.8777
2015,1,Mumbai,Maharashtra,rape,18,19.076,72.8777
2015,1,Mumbai,Maharashtra,kidnapping_abduction,32,19.076,72.8777
2015,1,Mumbai,Maharashtra,theft,352,19.076,72.8777
2015,1,Mumbai,Maharashtra,robbery,57,19.076,72.8777
2015,1,Mumbai,Maharashtra,dacoity,15,19.076,72.8777
2015,1,Mumbai,Maharashtra,grievous_hurt,47,19.076,72.8777
2015,1,Mumbai,Maharashtra,cyber_crime,66,19.076,72.8777
2015,1,Delhi,Delhi,murder,11,28.6139,77.209
2015,1,Delhi,Delhi,rape,17,28.6139,77.209
2015,1,Delhi,Delhi,kidnapping_abduction,28,28.6139,77.209
2015,1,Delhi,Delhi,theft,353,28.6139,77.209
2015,1,Delhi,Delhi,robbery,69,28.6139,77.209
2015,1,Delhi,Delhi,dacoity,17,28.6139,77.209
2015,1,Delhi,Delhi,grievous_hurt,39,28.6139,77.209
2015,1,Delhi,Delhi,cyber_crime,82,28.6139,77.209
2015,1,Bengaluru,Karnataka,murder,13,12.9716,77.5946
2015,1,Bengaluru,Karnataka,rape,21,12.9716,77.5946
2015,1,Bengaluru,Karnataka,kidnapping_abduction,33,12.9716,77.5946
2015,1,Bengaluru,Karnataka,theft,348,12.9716,77.5946
2015,1,Bengaluru,Karnataka,robbery,70,12.9716,77.5946
2015,1,Bengaluru,Karnataka,dacoity,18,12.9716,77.5946
2015,1,Bengaluru,Karnataka,grievous_hurt,32,12.9716,77.5946
2015,1,Bengaluru,Karnataka,cyber_crime,77,12.9716,77.5946
2015,1,Hyderabad,Telangana,murder,15,17.385,78.4867
2015,1,Hyderabad,Telangana,rape,23,17.385,78.4867
2015,1,Hyderabad,Telangana,kidnapping_abduction,34,17.385,78.4867
2015,1,Hyderabad,Telangana,theft,370,17.385,78.4867
2015,1,Hyderabad,Telangana,robbery,59,17.385,78.4867
2015,1,Hyderabad,Telangana,dacoity,10,17.385,78.4867
2015,1,Hyderabad,Telangana,grievous_hurt,65,17.385,78.4867
2015,1,Hyderabad,Telangana,cyber_crime,76,17.385,78.4867
2015,1,Ahmedabad,Gujarat,murder,8,23.0225,72.5714
2015,1,Ahmedabad,Gujarat,rape,17,23.0225,72.5714
2015,1,Ahmedabad,Gujarat,kidnapping_abduction,16,23.0225,72.5714
2015,1,Ahmedabad,Gujarat,theft,264,23.0225,72.5714
2015,1,Ahmedabad,Gujarat,robbery,43,23.0225,72.5714
2015,1,Ahmedabad,Gujarat,dacoity,13,23.0225,72.5714
2015,1,Ahmedabad,Gujarat,grievous_hurt,33,23.0225,72.5714
2015,1,Ahmedabad,Gujarat,cyber_crime,50,23.0225,72.5714
2015,1,Chennai,Tamil Nadu,murder,14,13.0827,80.2707
2015,1,Chennai,Tamil Nadu,rape,16,13.0827,80.2707
2015,1,Chennai,Tamil Nadu,kidnapping_abduction,24,13.0827,80.2707
2015,1,Chennai,Tamil Nadu,theft,353,13.0827,80.2707
2015,1,Chennai,Tamil Nadu,robbery,61,13.0827,80.2707
2015,1,Chennai,Tamil Nadu,dacoity,21,13.0827,80.2707
2015,1,Chennai,Tamil Nadu,grievous_hurt,48,13.0827,80.2707
2015,1,Chennai,Tamil Nadu,cyber_crime,74,13.0827,80.2707
2015,1,Kolkata,West Bengal,murder,11,22.5726,88.3639
2015,1,Kolkata,West Bengal,rape,16,22.5726,88.3639
2015,1,Kolkata,West Bengal,kidnapping_abduction,27,22.5726,88.3639
2015,1,Kolkata,West Bengal,theft,372,22.5726,88.3639
2015,1,Kolkata,West Bengal,robbery,54,22.5726,88.3639
2015,1,Kolkata,West Bengal,dacoity,8,22.5726,88.3639
2015,1,Kolkata,West Bengal,grievous_hurt,57,22.5726,88.3639
2015,1,Kolkata,West Bengal,cyber_crime,79,22.5726,88.3639
2015,1,Pune,Maharashtra,murder,10,18.5204,73.8567
2015,1,Pune,Maharashtra,rape,23,18.5204,73.8567
2015,1,Pune,Maharashtra,kidnapping_abduction,23,18.5204,73.8567
2015,1,Pune,Maharashtra,theft,276,18.5204,73.8567
2015,1,Pune,Maharashtra,robbery,37,18.5204,73.8567
2015,1,Pune,Maharashtra,dacoity,12,18.5204,73.8567
2015,1,Pune,Maharashtra,grievous_hurt,28,18.5204,73.8567
2015,1,Pune,Maharashtra,cyber_crime,55,18.5204,73.8567
2015,1,Jaipur,Rajasthan,murder,8,26.9124,75.7873
2015,1,Jaipur,Rajasthan,rape,14,26.9124,75.7873
2015,1,Jaipur,Rajasthan,kidnapping_abduction,17,26.9124,75.7873
